#
# Что найти			На что заменить
#
Адола				Адлер
Агаторам			Серебряная Рука
Айзак				Исаак
Айландс				Айлендс
Айхендольф			Айхендорф
Але(?= )			Ааре
Андрю				Эндрю
Асгримм				Асгрим
Аттэнборо			Аттенборо
Ахсгрим				Асгрим
Ашюл				Ашур
Баратск				Баалатск
Баерляйн			Байерляйн
Байерлен			Байерляйн
Баэрлайн			Байерляйн
Бергенгрюм			Бергенгрюн
Березка				Берёзка
Биджас				Вишас
Биттенфилд			Биттенфельд
Блакке				Бракке
Блумхарт			Блюмхардт
Блюмхарт			Блюмхардт
Боленц				Болен
Браухитц			Браухич
Брукдольф			Брукдорф
Брунхильд			Брунгильд
Брюмхальт			Блюмхардт
Бруно				Брюно
Букстефуд			Букстехуде
Букстехьюд			Букстехуде
Бъюкок				Бьюкок
Бьюро				Бюро
Вагенсейл			Вагензайл
Веллибарт			Виллибальд
Вензел				Венцель
Венли				Вэньли
Веньли				Вэньли
Вигрис				Вигрид
Виллок				Уилкок
Вильбарт			Виллибальд
Вильям				Уильям
Вонкель				Фонкель
Ву Чан				У Чен
Вульфрун			Ульфрун
Гандарва			Гандхарва
Гарг				Галга
Гаэсбург			Гайерсбург
Голденбаум			Гольденбаум
Гвен				Нгуен
Глейзер				Глезер
Грилпалцер			Грилльпарцер
Гротвл				Гротеволь
Гротвла				Гротеволя
Грюнвальд			Грюневальд
Грюнман				Грюнеман
Давсон				Доусон
Дексби				Дегсби
Джоан				Жоан
Джоанн				Жоан
Джоб				Иов
Дикел				Диккель
Дите(?!р)			Дитер
Довсон				Доусон
Доройзен			Дройзен
Дройсен				Дройзен
Дэтсш				Дэш
# Евангелин			Эвангелин
Евген				Ойген
Ёвахим				Иоахим
Ёзеф				Йозеф
Ётунхейм			Йотунхейм
Ёффен				Йохен
Зайдриц				Зайдлиц
Зерре				Зелле
Зэфельд				Зефельд
Иохим				Иоахим
Камхубер			Каммхубер
Карнапп				Карнап
Кассель				Казельн
Казелем				Казельном
Казелин				Казельн
Казель(?!н)			Казельн
Казеля				Казельна
Казэль(?!н)			Казельн
Казэля				Казельна
Каре				Кэри
Кемпф				Кемп
Кеслер				Кесслер
Кесселлинк			Кессельринг
Кирхиайс			Кирхайс
Кнапштайн			Кнапфштайн
Колдвелл			Колдуэлл
Кольрауч			Кольрауш
Корнелиас			Корнелий
Кройцель			Кройцер
Кунмел				Кюммел
Кэсселлинк			Кесселлинк
Кюмелл				Кюммель
Кюмелла				Кюммеля
Кюнмел				Кюммел
Лаёнел				Лайонел
Лазиана				Луизиана
Лайбл				Лайвуль
Лансберг			Ландсберг
Латбруф				Радбрух
Лебелло				Лебело
Леккендольф			Реккендорф
Леннен				Реннен
Лоэнгрэмм			Лоэнграмм
Маринеск(?!у)		Маринеску
Маринеска			Маринеску
Мариндольф			Мариендорф
Машюнго				Машунго
Мейвохер			Майховер
Меркатз				Меркатц
Меркац				Меркатц
Монтью				Монтень
Мураи				Мурай
Мьюзель				Мюзель
Найтхарт			Нейтхардт
Негуропонти			Негропонти
Ное					Нойе
Ноуе				Нойе
Обельштайн			Оберштайн
Оборотень			Беовульф
Оверхаусен			Оберхаузен
Одэт				Одетс
Патришев			Патричев
Паета				Паэта
Персифаль			Парсифаль
Райнхарт			Райнхард
Раццел				Ратцель
Раццель				Ратцель
Рацел				Ратцель
Рацель				Ратцель
Рацеля				Ратцеля
Рейнхарт			Райнхард
Роентар				Ройенталь
Роентара			Ройенталя
Роентарр			Ройенталь
Роентарра			Ройенталя
Роентарром			Ройенталем
Роентарру			Ройенталю
Роквелл				Рокуэлл
Рупарт				Руперт
Рэйнер				Райнер
Сан-Пьер			Сен-Пьер
Сандерс				Зандерс
Сандр				Сандор
Синдур				Синдри
Сомбарт				Зомбарт
Тарул				Топпарол
Топароур			Топпарол
Трунихт				Трюнихт
Уелнер				Вернер
Уилрих				Ульрих
Уолкер				Фолькер
Урваси				Урваши
Уэлнер				Вернер
Фалмул				Фармр
Фезан				Феззан
Фелнер				Фернер
Фернард				Фернанд
Форк				Фолк
Фунмел				Фуммел
Фусенега			Фусенеггер
Хайдрих				Гейдрих
Хайнессен			Хайнесен
Хайнрих				Генрих
Ханс				Ганс
Хенслов				Хенслоу
Хенслова			Хенслоу
Хелмут				Гельмут
Хельмут				Гельмут
Хуан				Хван
Шарлот(?!т)			Шарлотт
Шеинкопф			Шёнкопф
Шинзер				Синзер
Штаймец				Штайнметц
Штайнмец			Штайнметц
Штауфен				Штауффен
Цунь				Чунг
Эбот				Эверт
Эдвард(?!с)			Эдуард
Эрнест				Эрнст
